整理番号,クラス,クイズ1（〇が1，×が0）,クイズ2,クイズ3,クイズ4,クイズ5,クイズ6,味噌汁記述,お茶クイズ1（いる1，いない0）,お茶クイズ2（いる1，いない0）,おもしろさ,新発見,理解
56,4.0,1.0,1.0,0.0,0.0,0.0,0.0,みその中にあるナトリウムのせい,0.0,1.0,4.0,4.0,4.0
57,4.0,1.0,1.0,0.0,0.0,0.0,1.0,ナトリウムが入っているから,0.0,1.0,4.0,4.0,4.0
58,4.0,1.0,1.0,1.0,1.0,1.0,0.0,塩化ナトリウムがおゆに解けているから,0.0,1.0,4.0,4.0,4.0
59,4.0,1.0,1.0,0.0,0.0,1.0,0.0,みそがとけるとすっぱくなる,0.0,1.0,4.0,4.0,4.0
60,4.0,1.0,1.0,1.0,1.0,1.0,0.0,ナトリウムがおゆにとけているから,0.0,1.0,4.0,4.0,4.0
61,4.0,1.0,1.0,1.0,0.0,0.0,0.0,ナトリウムが入っているから,0.0,1.0,4.0,4.0,4.0
62,4.0,1.0,1.0,0.0,0.0,0.0,0.0,ナトリウムが入っているから,0.0,1.0,4.0,4.0,4.0
63,4.0,1.0,1.0,0.0,0.0,0.0,0.0,ナトリウム　Na,0.0,1.0,4.0,4.0,4.0
64,4.0,1.0,1.0,1.0,0.0,0.0,0.0,ナトリウムが入っているから,0.0,1.0,4.0,4.0,4.0
65,4.0,1.0,1.0,0.0,0.0,1.0,1.0,ナトリウムが入っているから,0.0,1.0,4.0,3.0,4.0
66,4.0,1.0,0.0,0.0,0.0,1.0,1.0,ナトリウム　Na,0.0,1.0,4.0,3.0,4.0
67,4.0,1.0,1.0,0.0,0.0,0.0,0.0,ナトリウムの成分がしょっぱい,1.0,1.0,4.0,3.0,4.0
68,4.0,1.0,1.0,0.0,0.0,0.0,1.0,ナトリウムが入っているから,0.0,1.0,4.0,4.0,3.0
69,4.0,1.0,1.0,0.0,0.0,0.0,0.0,食塩 ナトリウム,0.0,1.0,4.0,4.0,3.0
70,4.0,1.0,1.0,0.0,0.0,1.0,1.0,ナトリウムが混ざっていた,0.0,1.0,3.0,4.0,3.0
71,4.0,1.0,1.0,1.0,0.0,1.0,0.0,みそが入っていてみそがしょっぱいからみそしるはしょっぱい,0.0,1.0,4.0,3.0,3.0
72,4.0,1.0,1.0,0.0,0.0,0.0,0.0,ナトリウムが入っているから,0.0,1.0,4.0,4.0,4.0
73,4.0,1.0,1.0,0.0,0.0,0.0,1.0,ナトリウムが入っているから,0.0,1.0,2.0,3.0,2.0
1,2.0,1.0,1.0,1.0,0.0,1.0,0.0,みそがとけたから,,,,,
2,2.0,1.0,1.0,0.0,0.0,1.0,0.0,みそに塩が入っているから,,,,,
3,2.0,1.0,1.0,0.0,0.0,0.0,0.0,みその中に塩がふくまれているから。,,,,,
4,2.0,1.0,1.0,0.0,0.0,0.0,0.0,塩が入っているから。,,,,,
5,2.0,0.0,1.0,1.0,1.0,1.0,1.0,みそしるのつくりかたが，きがうから。,,,,,
6,2.0,1.0,1.0,0.0,0.0,0.0,1.0,塩分がとけているから,,,,,
7,2.0,1.0,1.0,0.0,0.0,1.0,0.0,みその中に塩が入ってそれが広がってしょっぱくなる。,,,,,
8,2.0,1.0,1.0,0.0,0.0,0.0,0.0,ナトリウムが入っているから。,,,,,
9,2.0,1.0,1.0,1.0,,1.0,,みそをいっぱいいれたから。,,,,,
10,2.0,1.0,1.0,0.0,0.0,1.0,1.0,"人の舌がしょっぱいとかんじているから
みかくにしおがくっつくから",,,,,
11,2.0,0.0,1.0,0.0,1.0,0.0,1.0,食塩が入っているから,,,,,
12,2.0,1.0,1.0,0.0,0.0,0.0,0.0,みその入れすぎ。,,,,,
13,2.0,0.0,1.0,0.0,1.0,0.0,0.0,みそに塩が入っているから,,,,,
14,2.0,1.0,1.0,0.0,0.0,0.0,0.0,みそに塩分がふくまれているから。,,,,,
15,2.0,1.0,1.0,0.0,0.0,0.0,0.0,みその中に塩が入っていて，汁にとけているから。,,,,,
16,2.0,1.0,1.0,1.0,1.0,1.0,1.0,みその中にある塩分が水にとけたから,,,,,
17,2.0,1.0,1.0,0.0,0.0,0.0,0.0,食塩がはいっているから,,,,,
18,2.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,
19,2.0,1.0,1.0,0.0,0.0,0.0,0.0,みその中にある塩が水に溶けたから。,,,,,
20,2.0,1.0,1.0,0.0,0.0,0.0,0.0,塩が入っているから。,,,,,
21,2.0,1.0,1.0,0.0,0.0,1.0,0.0,塩分がみそにふくまれているから,,,,,
95,2.0,1.0,1.0,0.0,0.0,1.0,0.0,塩分がまざっているから,,,,,
96,2.0,1.0,1.0,0.0,0.0,1.0,0.0,みそが入っているから。,,,,,
97,2.0,1.0,1.0,0.0,0.0,1.0,0.0,みそをいれているから。,,,,,
98,2.0,1.0,1.0,0.0,0.0,0.0,0.0,塩分があったから。,,,,,
99,2.0,1.0,1.0,0.0,0.0,1.0,0.0,みそに塩の成分が入っているから。,,,,,
100,,,,,,,,,,,,,
101,,,,,,,,,,,,,
102,,,,,,,,,,,,,
103,,,,,,,,,,,,,
104,,,,,,,,,,,,,
105,,,,,,,,,,,,,
106,,,,,,,,,,,,,
107,,,,,,,,,,,,,
108,,,,,,,,,,,,,
109,,,,,,,,,,,,,
110,,,,,,,,,,,,,
111,,,,,,,,,,,,,
112,,,,,,,,,,,,,
