Page_ID,class,Q1_Saltwater,Q1_Sugarwater,Q1_Muddywater,Q1_Ink,Q1_MisoSoup,Q1_SoySauce,Q2_MisoSaltyReason,Q3_TeaLeaves_DissolveInWater,Q3_TeaComponents_DissolveInWater,Q4_ExperimentInterestRating,Q4_ExperimentInterestComment,Q5_NewLearningsRating,Q6_DissolvingUnderstandingRating,Q6_DissolvingUnderstandingComment,GeneralPageComments
16,1.0,True,False,False,False,True,True,みそにえん分がはいっているから,True,True,4,,4,4,,
17,1.0,True,True,False,False,False,False,,True,True,4,,4,4,,
18,1.0,True,True,False,False,False,False,塩がとけているから,False,True,4,,4,4,,
19,1.0,True,True,False,False,False,False,みそに食塩が入っているから,False,True,4,,4,4,,
20,1.0,True,True,False,False,False,False,みそがとけているから,False,True,4,,4,4,,
21,1.0,True,True,False,False,False,False,しおがとけているから,True,False,4,,4,4,,
22,1.0,True,True,False,False,False,False,みそに塩が入っているから,False,True,4,,3,4,,
23,1.0,True,True,False,False,False,True,塩分をふくんでいるから。,False,True,4,,3,4,,
24,1.0,True,True,False,False,False,False,ナトリウムが入っているから,False,True,4,,4,3,,
1,4.0,True,True,False,False,False,True,ナトリウムが入っているから,False,True,4,,4,4,,
2,4.0,True,False,True,False,False,True,塩化ナトリウムがみそ汁の中にとけているから,False,True,4,,4,4,,
3,4.0,True,True,False,False,True,True,ナトリウムが入っているから,False,True,4,,4,4,,
4,4.0,True,True,False,False,True,True,ナトリウムのおかげ,False,True,4,,4,4,,
5,4.0,True,True,False,False,True,True,みその塩が入っていて、その中にナトリウムが入っているから,False,True,4,,4,4,,
6,4.0,True,True,False,False,False,False,ナトリウムが入っているから,False,True,4,,4,4,,
7,4.0,True,True,True,False,True,False,ストロンチウムを入れたから,False,True,4,,4,4,,
8,4.0,True,True,False,False,False,False,みその中にあるナトリウムのせい,False,True,4,,4,4,,
9,4.0,True,True,False,False,False,True,ナトリウムが入っているから,False,True,4,,4,4,,
10,4.0,True,True,True,True,True,False,塩化ナトリウムがおゆに解けているから,False,True,4,,4,4,,
11,4.0,True,True,False,False,True,False,みそがとけるとすっぱくなる,False,True,4,,4,4,,
12,4.0,True,True,True,True,True,False,ナトリウムがおゆにとけているから,False,True,4,,4,4,,
13,4.0,True,True,True,False,False,False,ナトリウムが入っているから,False,True,4,,4,4,,
14,4.0,True,True,False,False,False,False,ナトリウムが入っているから,False,True,4,,4,4,,
15,4.0,True,True,False,False,False,False,ナトリウム　Na,False,True,4,,4,4,,
16,4.0,True,True,True,False,False,False,ナトリウムが入っているから,False,True,4,,4,4,,
17,4.0,True,True,False,False,True,True,ナトリウムが入っているから,False,True,4,,3,4,,
18,4.0,True,False,False,False,True,True,ナトリウム　Na,False,True,4,,3,4,,
19,4.0,True,True,False,False,False,False,ナトリウムの成分がしょっぱい,True,True,4,,3,4,,
20,4.0,True,True,False,False,False,True,ナトリウムが入っているから,False,True,4,,4,3,,
21,4.0,True,True,False,False,False,False,食塩 ナトリウム,False,True,4,,4,3,,
22,4.0,True,True,False,False,True,True,ナトリウムが混ざっていた,False,True,3,,4,3,,
23,4.0,True,True,True,False,True,False,みそが入っていてみそがしょっぱいからみそしるはしょっぱい,False,True,4,,3,3,,
24,4.0,True,True,False,False,False,False,ナトリウムが入っているから,False,True,4,,4,4,,
25,4.0,True,True,False,False,False,True,ナトリウムが入っているから,False,True,2,,3,2,,
1,2.0,True,True,True,False,True,False,みそがとけたから,False,False,1,,1,1,,
2,2.0,True,True,False,False,True,False,みそに塩が入っているから,False,False,1,,1,1,,
3,2.0,True,True,False,False,False,False,みその中に塩がふくまれているから。,False,False,1,,1,1,,
4,2.0,True,True,False,False,False,False,塩が入っているから。,False,False,1,,1,1,,
5,2.0,False,True,True,True,True,True,みそしるのつくりかたが，きがうから。,False,False,1,,1,1,,
6,2.0,True,True,False,False,False,True,塩分がとけているから,False,False,1,,1,1,,
7,2.0,True,True,False,False,True,False,みその中に塩が入ってそれが広がってしょっぱくなる。,False,False,1,,1,1,,
8,2.0,True,True,False,False,False,False,ナトリウムが入っているから。,False,False,1,,1,1,,
9,2.0,True,True,True,False,True,False,みそをいっぱいいれたから。,False,False,1,,1,1,,
10,2.0,True,True,False,False,True,True,"人の舌がしょっぱいとかんじているから
みかくにしおがくっつくから",False,False,1,,1,1,,
11,2.0,False,True,False,True,False,True,食塩が入っているから,False,False,1,,1,1,,
12,2.0,True,True,False,False,False,False,みその入れすぎ。,False,False,1,,1,1,,
13,2.0,False,True,False,True,False,False,みそに塩が入っているから,False,False,1,,1,1,,
14,2.0,True,True,False,False,False,False,みそに塩分がふくまれているから。,False,False,1,,1,1,,
15,2.0,True,True,False,False,False,False,みその中に塩が入っていて，汁にとけているから。,False,False,1,,1,1,,
16,2.0,True,True,True,True,True,True,みその中にある塩分が水にとけたから,False,False,1,,1,1,,
17,2.0,True,True,False,False,False,False,食塩がはいっているから,False,False,1,,1,1,,
18,2.0,True,True,True,False,True,False,,False,False,1,,1,1,,
19,2.0,True,True,False,False,False,False,みその中にある塩が水に溶けたから。,False,False,1,,1,1,,
20,2.0,True,True,False,False,False,False,塩が入っているから。,False,False,1,,1,1,,
21,2.0,True,True,False,False,True,False,塩分がみそにふくまれているから,False,False,1,,1,1,,
22,2.0,True,True,False,False,True,False,塩分がまざっているから,False,False,1,,1,1,,
23,2.0,True,True,False,False,True,False,みそが入っているから。,False,False,1,,1,1,,
24,2.0,True,True,False,False,True,False,みそをいれているから。,False,False,1,,1,1,,
25,2.0,True,True,False,False,False,False,塩分があったから。,False,False,1,,1,1,,
26,2.0,True,True,False,False,True,False,みそに塩の成分が入っているから。,False,False,1,,1,1,,
