"Page_ID","class","Q1_Saltwater_Response","Q1_Sugarwater_Response","Q1_Muddywater_Response","Q1_Ink_Response","Q1_MisoSoup_Response","Q1_SoySauce_Response","Q2_MisoSalty_Reason","Q3_TeaLeavesDissolve","Q3_TeaComponentsDissolve"
"15","4","true","true","false","false","false","false","みそにしおがはいっているから","false","true"
"16","4","true","true","true","false","false","false","えんぶつがおおいものがふくまれているから","false","true"
"17","4","true","true","true","true","true","false","N/A","false","true"
"18","4","true","true","true","N/A","true","false","みそのしょっぱさだけがしるにしみこんでいるから。","false","true"
"19","4","true","true","false","false","true","false","みそがはいってるから","false","true"
"20","4","true","true","false","false","true","false","みそがはいっているから","false","true"
"21","4","true","true","false","false","true","false","みそがはいから。","false","true"
"22","4","true","true","false","false","true","false","みそに塩が入っているから？","false","true"
"23","4","true","true","true","false","true","false","食塩水をベースで作ったから","false","true"
"24","4","true","true","false","false","true","false","みそがしょっぱいから。","false","true"
"25","4","true","true","true","false","true","false","みそが入っていてみそはしょっぱいと思う。","false","true"
"1","2","true","true","false","false","true","false","みそにしおの成分が、入っているから。","false","true"
"2","2","true","true","false","false","true","false","塩分がたくさんふくまれているから。","false","true"
"3","2","true","true","false","false","false","false","みその中に塩が入っているから。","false","true"
"4","2","true","true","false","false","false","false","食塩がはいはから","true","true"
"5","2","true","true","true","false","true","false","みそから出た成分がとけてしょっぱくなるっ.","false","true"
"6","2","true","true","true","false","true","false","みそがとけたから","false","true"
"7","2","true","true","false","false","true","false","みそしるがとけたから。","false","true"
"8","2","true","true","false","false","true","false","みそがはいっているから","false","true"
"9","2","true","true","false","false","true","false","みそが入っているから。","false","true"
"10","2","true","true","false","false","false","false","N/A","false","true"
"11","2","true","true","false","false","false","false","みそに塩分がふくまれているから。","false","true"
"12","2","true","true","false","false","false","false","塩が入っているから。","false","true"
"13","2","true","true","false","false","true","true","N/A","false","true"
"14","2","false","true","true","true","true","true","みそのつぶがとけているから","false","true"
"15","2","true","true","true","true","true","true","みその中にある塩分が水にとけているから","false","true"
"16","2","true","true","false","true","true","true","みそに塩が入っているから。","false","true"
"17","2","true","true","false","false","false","true","塩が入っているから","false","true"
"18","2","true","true","false","false","false","true","みそに塩が入っているから","false","true"
"19","2","true","true","false","false","false","true","しおがはいっているから","false","true"
"20","2","true","true","false","false","false","false","N/A","false","true"
"21","2","true","true","false","false","false","false","みその中に入っている塩が水にとけているから。","false","true"
"22","2","true","true","false","false","true","false","塩分がまざっているから","true","false"
"23","2","true","true","false","false","false","false","みその入れすぎ。","false","true"
"24","2","true","true","false","false","true","true","塩が入っているから。","false","true"
"25","2","true","true","false","false","false","true","塩が入っているから","true","false"
"26","2","true","true","false","false","false","true","下に塩がたまるから","N/A","N/A"
"1","3","true","true","false","false","true","false","みその中に=","false","true"
"2","3","true","true","false","false","false","true","みそにしおがはいっている","false","true"
"3","3","true","true","false","false","false","true","みそに塩が入っているから","false","true"
"4","3","true","true","false","false","true","true","みそが入っているから","true","true"
"5","3","true","true","false","false","true","true","塩がとかされているから。","false","true"
"6","3","true","true","false","false","false","true","食塩が含まれているから","false","true"
"7","3","true","true","false","false","false","true","塩 がはいっているから とけている
でもあんまりしょっぱくない","false","true"
"8","3","true","true","false","false","false","true","みそのなかにしょっぱくなるせいぶんがはいっているから","false","true"
"9","3","true","true","false","false","false","true","みそをつかっていて、しおもつかっているから","false","true"
"10","3","true","true","false","false","false","true","みそが入っているから","false","true"
"11","3","true","true","false","false","false","true","N/A","false","true"
"12","3","true","true","false","false","false","true","みその中に食塩が入っているから","false","true"
"13","3","true","true","false","false","false","true","みその中に食塩が入っている？","false","true"
"14","3","true","true","false","true","false","true","塩が入っているから","false","true"
"15","3","true","true","false","false","true","true","食塩がはいっているから。","false","true"
"16","3","true","true","false","false","true","true","塩が入っているから","false","true"
"17","3","true","true","false","false","true","true","みそがはいっているから","false","true"
"18","3","true","true","false","false","true","true","N/A","false","true"
"19","3","true","true","false","false","true","true","みそを入れているから","false","true"
"20","3","true","true","true","false","false","false","みそにこぶがとけてるから","false","true"
"21","3","true","true","true","false","false","false","塩をとがしてつくっているから","false","true"
"22","3","true","true","false","false","false","false","塩が入っているから","false","true"
"23","3","true","true","false","false","false","false","食塩が入っているから。
みそが入っているから。","false","true"
"24","3","true","true","false","false","false","false","みそが入っているから","false","true"
