Page_ID,class,Q1_Saltwater_Response,Q1_Sugarwater_Response,Q1_Muddywater_Response,Q1_Ink_Response,Q1_MisoSoup_Response,Q1_SoySauce_Response,Q2_MisoSalty_Reason,Q3_TeaLeavesDissolve,Q3_TeaComponentsDissolve
2,4.0,True,True,True,False,False,False,みそ汁の中に入っているみそがしょっぱくて、そのしょっぱいのを水に溶かした物だと思う,False,False
3,4.0,True,True,False,False,False,True,みそがはいってるから,True,False
4,4.0,True,False,False,True,False,True,みそのせいぶんのさんみが強い,False,True
5,4.0,True,False,False,True,False,True,目に見えない小さい塩の粒がとけているから,False,True
6,4.0,True,True,True,True,False,True,みその中に食塩が入っているから,False,True
7,4.0,True,True,False,False,False,True,みそしるに入っているみそに塩が入っているから,False,True
8,4.0,True,True,True,False,False,True,塩が入っているから,False,True
9,4.0,True,False,False,True,True,True,大豆としょうゆをまぜたものだから,False,True
10,4.0,True,True,False,False,True,True,みそしるにはいっているみそは、同じ大豆でできているしょうゆがしょっぱいから,False,True
11,4.0,True,True,False,True,False,False,みそが入っているから。,False,True
12,4.0,True,True,False,True,False,False,みそが入っていて、みその中に食塩が入っているから,False,True
13,4.0,True,True,False,False,False,False,味のあるみそが水にとけているから,False,True
14,4.0,True,True,False,False,False,False,みそをいれているから,False,True
15,4.0,True,True,False,False,False,False,みそに塩が入っているから,False,True
16,4.0,True,True,True,False,False,False,えんぶんが多いものがふくまれているから,False,True
17,4.0,True,True,True,True,True,False,なし,False,True
18,4.0,True,True,True,True,True,False,みそのしょっぱさだけがしるにしみているから,False,True
19,4.0,True,True,False,False,True,False,みそが入っているから。,False,True
20,4.0,True,True,False,False,True,False,みそがはいっているから,False,True
21,4.0,True,True,False,False,True,False,みそがこいから,False,True
22,4.0,True,True,False,False,True,False,みそに塩が入っているからです。,False,True
23,4.0,True,True,True,False,True,False,食塩水をベースで作ったから,False,True
24,4.0,True,True,False,False,True,False,みそがしょっぱいから。,False,True
25,4.0,True,True,True,False,True,False,みそが入っていてみそはしょっぱいからしょっぱいとおもった,False,True
1,2.0,True,True,False,False,True,False,みそに塩の成分が入っているから。,False,False
2,2.0,True,True,False,False,True,False,塩分がたくさん含まれているから,False,False
3,2.0,True,True,False,False,False,False,みその中に塩が入ってるから。,False,False
4,2.0,True,True,False,False,False,False,食塩がはいるから,False,False
5,2.0,True,True,True,False,True,False,みそから出た成分がとけてしょっぱくなる。,False,False
6,2.0,True,True,True,False,True,False,みそがとけたから,False,False
7,2.0,True,True,False,False,True,False,みそがとけたから。,False,False
8,2.0,True,True,False,False,True,False,みそがはいっているから,False,False
9,2.0,True,True,False,False,True,False,みそが入っているから。,False,False
10,2.0,True,True,False,False,False,False,,False,False
11,2.0,True,True,False,False,False,False,みそに塩分がふくまれているから。,False,False
12,2.0,True,True,False,False,False,False,塩が入っているから。,False,False
13,2.0,True,True,False,False,True,True,,False,False
14,2.0,False,True,True,True,True,True,みそしるのつくりかたがちがうから,False,False
15,2.0,True,True,True,True,True,True,みその中にある塩分が水にとけているから,False,False
16,2.0,True,True,False,True,True,True,みそに塩が入っているから。,False,False
17,2.0,True,True,False,False,False,True,塩が入っているから,False,False
18,2.0,True,True,False,False,False,True,みそに塩が入っているから,False,False
19,2.0,True,True,False,False,False,True,塩が入っているから,False,False
20,2.0,True,True,False,False,False,False,,False,False
21,2.0,True,True,False,False,False,False,みその中に入っている塩が水に溶けているから。,False,False
22,2.0,True,True,False,False,True,False,塩分がまざっているから,False,False
23,2.0,True,True,False,False,False,False,みその入れすぎ。,False,False
24,2.0,True,True,False,False,True,True,塩が入っているから。,False,False
25,2.0,True,True,False,False,False,True,塩が入っているから,False,False
26,2.0,True,True,False,False,False,True,下に塩がたまるから,False,False
