Page_ID,Excel_ID,class,Q1_Saltwater,Q1_Sugarwater,Q1_Muddywater,Q1_Ink,Q1_MisoSoup,Q1_SoySauce,Q3_TeaLeaves_DissolveInWater,Q3_TeaComponents_DissolveInWater,Q2_MisoSaltyReason,Q4_ExperimentInterestRating,Q4_ExperimentInterestComment,Q5_NewLearningsRating,Q6_DissolvingUnderstandingRating,Q6_DissolvingUnderstandingComment,GeneralPageComments
PAGE_058,58,4.0,,,,,,,,,塩化ナトリウムがおゆに解けているから,4.0,,4.0,4.0,,
PAGE_059,59,4.0,,,,,,,,,みそがとけるとすっぱくなる,4.0,,4.0,4.0,,
PAGE_060,60,4.0,,,,,,,,,ナトリウムがおゆにとけているから,4.0,,4.0,4.0,,
PAGE_061,61,4.0,,,,,,,,,ナトリウムが入っているから,4.0,,4.0,4.0,,
PAGE_062,62,4.0,,,,,,,,,ナトリウムが入っているから,4.0,,4.0,4.0,,
PAGE_063,63,4.0,,,,,,,,,ナトリウム　Na,4.0,,4.0,4.0,,
PAGE_064,64,4.0,,,,,,,,,ナトリウムが入っているから,4.0,,4.0,4.0,,
PAGE_065,65,4.0,,,,,,,,,ナトリウムが入っているから,4.0,,3.0,4.0,,
PAGE_066,66,4.0,,,,,,,,,ナトリウム　Na,4.0,,3.0,4.0,,
PAGE_067,67,4.0,,,,,,,,,ナトリウムの成分がしょっぱい,4.0,,3.0,4.0,,
PAGE_068,68,4.0,,,,,,,,,ナトリウムが入っているから,4.0,,4.0,3.0,,
PAGE_069,69,4.0,,,,,,,,,食塩 ナトリウム,4.0,,4.0,3.0,,
PAGE_070,70,4.0,,,,,,,,,ナトリウムが混ざっていた,3.0,,4.0,3.0,,
PAGE_071,71,4.0,,,,,,,,,みそが入っていてみそがしょっぱいからみそしるはしょっぱい,4.0,,3.0,3.0,,
PAGE_072,72,4.0,,,,,,,,,ナトリウムが入っているから,4.0,,4.0,4.0,,
PAGE_073,73,4.0,,,,,,,,,ナトリウムが入っているから,2.0,,3.0,2.0,,
PAGE_001,1,2.0,,,,,,,,,みそがとけたから,,,,,,
PAGE_002,2,2.0,,,,,,,,,みそに塩が入っているから,,,,,,
PAGE_003,3,2.0,,,,,,,,,みその中に塩がふくまれているから。,,,,,,
PAGE_004,4,2.0,,,,,,,,,塩が入っているから。,,,,,,
PAGE_005,5,2.0,,,,,,,,,みそしるのつくりかたが，きがうから。,,,,,,
PAGE_006,6,2.0,,,,,,,,,塩分がとけているから,,,,,,
PAGE_007,7,2.0,,,,,,,,,みその中に塩が入ってそれが広がってしょっぱくなる。,,,,,,
PAGE_008,8,2.0,,,,,,,,,ナトリウムが入っているから。,,,,,,
PAGE_009,9,2.0,,,,,,,,,みそをいっぱいいれたから。,,,,,,
PAGE_010,10,2.0,,,,,,,,,"人の舌がしょっぱいとかんじているから
みかくにしおがくっつくから",,,,,,
PAGE_011,11,2.0,,,,,,,,,食塩が入っているから,,,,,,
PAGE_012,12,2.0,,,,,,,,,みその入れすぎ。,,,,,,
PAGE_013,13,2.0,,,,,,,,,みそに塩が入っているから,,,,,,
PAGE_014,14,2.0,,,,,,,,,みそに塩分がふくまれているから。,,,,,,
PAGE_015,15,2.0,,,,,,,,,みその中に塩が入っていて，汁にとけているから。,,,,,,
PAGE_016,16,2.0,,,,,,,,,みその中にある塩分が水にとけたから,,,,,,
PAGE_017,17,2.0,,,,,,,,,食塩がはいっているから,,,,,,
PAGE_018,18,2.0,,,,,,,,,,,,,,,
PAGE_019,19,2.0,,,,,,,,,みその中にある塩が水に溶けたから。,,,,,,
PAGE_020,20,2.0,,,,,,,,,塩が入っているから。,,,,,,
PAGE_021,21,2.0,,,,,,,,,塩分がみそにふくまれているから,,,,,,
PAGE_095,95,2.0,,,,,,,,,塩分がまざっているから,,,,,,
PAGE_096,96,2.0,,,,,,,,,みそが入っているから。,,,,,,
PAGE_097,97,2.0,,,,,,,,,みそをいれているから。,,,,,,
PAGE_098,98,2.0,,,,,,,,,塩分があったから。,,,,,,
PAGE_099,99,2.0,,,,,,,,,みそに塩の成分が入っているから。,,,,,,
PAGE_100,100,,,,,,,,,,,,,,,,
PAGE_101,101,,,,,,,,,,,,,,,,
PAGE_102,102,,,,,,,,,,,,,,,,
PAGE_103,103,,,,,,,,,,,,,,,,
PAGE_104,104,,,,,,,,,,,,,,,,
PAGE_105,105,,,,,,,,,,,,,,,,
PAGE_106,106,,,,,,,,,,,,,,,,
PAGE_107,107,,,,,,,,,,,,,,,,
PAGE_108,108,,,,,,,,,,,,,,,,
PAGE_109,109,,,,,,,,,,,,,,,,
PAGE_110,110,,,,,,,,,,,,,,,,
PAGE_111,111,,,,,,,,,,,,,,,,
PAGE_112,112,,,,,,,,,,,,,,,,
